year,git_nodes_hop_1,git_edges_hop_1,git_nodes_hop_2,git_edges_hop_2,git_nodes_hop_3,git_edges_hop_3
2009,212,14,212,14,212,14
2010,465,28,472,35,472,35
2011,893,101,911,120,917,126
2012,1314,101,1364,160,1385,198
2013,1903,451,2030,665,2051,692
2014,2302,993,2503,1343,2538,1391
2015,2901,2199,3163,2605,3199,2648
2016,2814,2709,3285,3668,3375,3882
2017,2783,3540,3545,5451,3686,5683
2018,2255,3301,3303,7020,3578,7530
2019,1919,1279,3432,8781,3833,9636
2020,2313,4554,3865,11210,4198,11714
2021,1204,1043,3126,11057,3789,12812
2022,1003,1241,2964,11773,3703,13697
2023,42,0,42,0,42,0
